batch_size,mean_time,std_time,config,category
2,1.5233244484988973,0.04838781080592974,jFalse_vFalse_b2_20241007_010830,jFalse_vFalse
2,0.0048658795305527745,0.0001198995266037891,jTrue_vTrue_b2_20241007_010840,jTrue_vTrue
2,0.01094553682487458,0.0012441637617863343,jTrue_vFalse_b2_20241007_010952,jTrue_vFalse
2,1.0067562695126981,0.055627445687649664,jFalse_vTrue_b2_20241007_010948,jFalse_vTrue
4,0.004944060544949025,0.000622066564252571,jTrue_vTrue_b4_20241007_010756,jTrue_vTrue
4,0.9987731040106155,0.048240274963948344,jFalse_vTrue_b4_20241007_010918,jFalse_vTrue
4,2.98183821226703,0.04751921786877176,jFalse_vFalse_b4_20241007_010918,jFalse_vFalse
4,0.020601774821989237,0.002402220967587192,jTrue_vFalse_b4_20241007_010945,jTrue_vFalse
8,0.005028038437012583,0.0003394658245616507,jTrue_vTrue_b8_20241007_010757,jTrue_vTrue
8,5.856437241344247,0.22458307013312953,jFalse_vFalse_b8_20241007_011147,jFalse_vFalse
8,0.0408926879405044,0.00304149576417168,jTrue_vFalse_b8_20241007_011000,jTrue_vFalse
8,1.0038808569312097,0.0506104969949846,jFalse_vTrue_b8_20241007_010912,jFalse_vTrue
16,12.116353952558711,0.0042086245957762,jFalse_vFalse_b16_20241007_013110,jFalse_vFalse
16,0.005033821670804173,7.621322473800762e-05,jTrue_vTrue_b16_20241007_010934,jTrue_vTrue
16,0.07983057840028777,0.00020308109943896572,jTrue_vFalse_b16_20241007_010851,jTrue_vFalse
16,0.989772187510971,0.05675061206350649,jFalse_vTrue_b16_20241007_010825,jFalse_vTrue
32,24.7448191329604,0.005271866102702916,jFalse_vFalse_b32_20241007_013210,jFalse_vFalse
32,0.005309248575940728,0.00046702094660860304,jTrue_vTrue_b32_20241007_010838,jTrue_vTrue
32,0.18795329969143496,0.04040735869602231,jTrue_vFalse_b32_20241007_010812,jTrue_vFalse
32,1.001038993219845,0.05347571772763509,jFalse_vTrue_b32_20241007_010941,jFalse_vTrue
64,0.3657032271497883,0.040804505614729036,jTrue_vFalse_b64_20241007_011012,jTrue_vFalse
64,0.9923962047905661,0.06849141101700389,jFalse_vTrue_b64_20241007_011035,jFalse_vTrue
64,0.005450972011778504,0.008011980944023276,jTrue_vTrue_b64_20241008_032811,jTrue_vTrue
64,46.29661712201778,0.10428156901616603,jFalse_vFalse_b64_20241007_013401,jFalse_vFalse
